                   LOVE WAVE        MODE #  0
        T = 0.2500E+01 C =    0.6360E+00 U   = 0.5602E+00
        AL= 0.1713E+01 GAMMA= 0.3738E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.864E-01  0.120E+01 -0.272E-02
    2   0.735E-01 -0.824E+00 -0.253E-04  0.808E-02  0.195E-02
    3   0.154E-02 -0.386E-01 -0.113E-07  0.517E-05  0.181E-05
    4   0.278E-04 -0.126E-02 -0.177E-11  0.229E-08  0.103E-08
    5   0.572E-06 -0.313E-04 -0.277E-15  0.106E-11  0.517E-12
    6   0.123E-07 -0.712E-06 -0.358E-18  0.505E-15  0.251E-15
    7   0.248E-09 -0.169E-07 -0.385E-21  0.224E-18  0.118E-18
    8   0.435E-11 -0.431E-09 -0.140E-24  0.849E-22  0.507E-22
    9   0.765E-13 -0.104E-10 -0.221E-28  0.315E-25  0.206E-25
   10   0.147E-14 -0.227E-12 -0.413E-32  0.125E-28  0.841E-29
   11   0.292E-16 -0.474E-14  0.000E+00  0.510E-32  0.344E-32
   12   0.596E-18 -0.961E-16  0.000E+00  0.212E-35  0.142E-35
   13   0.122E-19 -0.195E-17  0.000E+00  0.000E+00  0.000E+00
   14   0.249E-21 -0.395E-19  0.000E+00  0.000E+00  0.000E+00
   15   0.509E-23 -0.802E-21  0.000E+00  0.000E+00  0.000E+00
   16   0.103E-24 -0.165E-22  0.000E+00  0.000E+00  0.000E+00
   17   0.210E-26 -0.336E-24  0.000E+00  0.000E+00  0.000E+00
   18   0.429E-28 -0.681E-26  0.000E+00  0.000E+00  0.000E+00
   19   0.873E-30 -0.139E-27  0.000E+00  0.000E+00  0.000E+00
   20   0.177E-31 -0.284E-29  0.000E+00  0.000E+00  0.000E+00
   21   0.360E-33 -0.580E-31  0.000E+00  0.000E+00  0.000E+00
   22   0.734E-35 -0.118E-32  0.000E+00  0.000E+00  0.000E+00
   23   0.000E+00 -0.241E-34  0.000E+00  0.000E+00  0.000E+00
   24   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   25   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   26   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   27   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   28   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   29   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   30   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   31   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   32   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   33   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   34   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   35   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   36   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   37   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   38   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   39   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   40   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   41   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
